"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPS4Y1",2847.37939023629,12.0691442070205,2.0902770812664,5.77394466752151,7.74368754063461e-09,4.31343774138455e-06
"IGHV7-4-1",50.1230276496073,18.934940201697,3.28643152869535,5.76155019094946,8.33448706482077e-09,4.52348942823234e-06
"IGKV1D-39",1499.20133761769,8.48887664663176,1.50536633801988,5.63907696899735,1.70964109913739e-08,9.04699328636029e-06
"USP9Y",2714.61660775369,12.3574745235278,2.22296290883674,5.55901066743143,2.71308117027891e-08,1.40067778369009e-05
"IGLJ2",680.53213050951,9.55975443122476,1.72423855520722,5.54433399157802,2.9507513122038e-08,1.48710840536709e-05
"IGHV3-74",223.731763422502,8.59970072490302,1.55323697259102,5.53663148422064,3.0834437860045e-08,1.51784313065947e-05
"DDX3Y",1315.5542942772,11.3997075129541,2.06318907213601,5.52528494208824,3.28951293468216e-08,1.58248000655494e-05
"IGKV3-15",719.609120750314,9.56890704457837,1.7370599456665,5.50867980604253,3.61534833594518e-08,1.70057951615448e-05
"IGLV2-23",603.275512786453,9.20841065352186,1.67378068978587,5.50156344240052,3.7643810816771e-08,1.73218813817085e-05
"IGKV2-30",314.979999069896,8.72802492945641,1.60548298308288,5.4363858237206,5.43721528174458e-08,2.44871352912101e-05
"IGHA1",6924.85958946488,6.13013911679169,1.13593777360461,5.39654482774987,6.79364439550544e-08,2.99585564415966e-05
"IGHV4-39",334.755116819119,8.99940689055924,1.6786146799857,5.36121064462267,8.26660541181617e-08,3.57100483167169e-05
"CYP2C18",322.805817025079,8.14002999024321,1.53027654330376,5.31931958694828,1.04156038251385e-07,4.40934172333414e-05
"SERPINB4",273.648464307249,16.2121312549905,3.06048595231252,5.29724086553659,1.17565572687123e-07,4.87943230797712e-05
"KRT5",2844.35470964175,9.17844587128621,1.76790841895457,5.19169758618704,2.08385281935616e-07,8.48248319755999e-05
"IGKV1-33",735.97623444488,9.11958839329455,1.77073256193939,5.15017828740119,2.60238959951289e-07,0.000103933548401678
"DUOXA2",348.122919489826,8.61329990088388,1.67753026283822,5.13451237911559,2.82876475583872e-07,0.000108866297430615
"IGKV4-1",392.189371659994,8.49099769754123,1.65306686349736,5.13651194941805,2.79884562092278e-07,0.000108866297430615
"COL22A1",149.004083585162,6.83741087874873,1.34073107724145,5.09976310299056,3.40078846943214e-07,0.000128543731307982
