"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RNA5S15",504.724247139488,-5.07418876343679,0.93750004140572,-5.41246777528498,6.21620441930491e-08,9.0555615036841e-06
"RNA5S7",515.392884858966,-5.09070453355046,0.941311150264341,-5.40809968321407,6.36969714376777e-08,9.0555615036841e-06
"TBK1",369.003279904898,1.55240310372121,0.286850622397335,5.41188682369628,6.2364102331863e-08,9.0555615036841e-06
"NQO1",1051.32254377166,4.96674292309332,0.919374962200685,5.40230387741314,6.57903725561349e-08,9.16219843753039e-06
"TFF2",1066.15485027926,11.2561197017881,2.08344055219673,5.40265940869772,6.56600609374332e-08,9.16219843753039e-06
"IGLJ2",680.53213050951,9.85845522895588,1.82600098440918,5.39893204501513,6.7038758786767e-08,9.21157238236037e-06
"NBL1",304.027610227361,3.20156777216368,0.592921348674739,5.39965001988818,6.67710278373601e-08,9.21157238236037e-06
"LGALS9",1501.37728789698,2.54390368134862,0.471647457441681,5.39365503027899,6.90387052404126e-08,9.38670353953575e-06
"RNA5S11",505.383742873098,-5.04068903718937,0.934846695706302,-5.39199535104629,6.96795711779617e-08,9.38670353953575e-06
"RNA5S3",505.996284424976,-5.0970634323317,0.945264055965186,-5.39221120296086,6.9595897623046e-08,9.38670353953575e-06
"SLC9A2",131.654359199824,9.84049328118368,1.82561058581238,5.39024771090751,7.03606300560237e-08,9.41690224730328e-06
"KLHL14",7.29252762996426,15.6592020158078,2.90784626380742,5.38515471423317,7.23823603244497e-08,9.62498599127247e-06
"ADGRF1",175.09984946402,8.62291471151126,1.60225835046827,5.38172555567655,7.37751852205216e-08,9.68522511197561e-06
"RNA5S4",499.989426018098,-5.02798836494072,0.934165243862281,-5.38233294160317,7.35266052514037e-08,9.68522511197561e-06
"RNA5S13",508.993551810181,-5.04356750774193,0.939145335592478,-5.37038019207123,7.85708184516264e-08,1.02495135386486e-05
"RNA5S6",514.831697328806,-5.04858978716378,0.942294929203862,-5.35775968934619,8.42602084867135e-08,1.09225607366016e-05
"CLDN18",905.17778990145,7.78878662350181,1.4543984912511,5.3553318917443,8.53995142678328e-08,1.10010586785894e-05
"TMEM87B",775.507363644603,2.4493075653351,0.458209471342525,5.34538833987604,9.02234040883723e-08,1.15502769047543e-05
"MMP12",139.487237158726,9.04712999636125,1.69311431874364,5.34348442760473,9.11766656971013e-08,1.16002608437219e-05
"RNA5S8",508.131284763351,-5.03105389348654,0.942767132585442,-5.33647569966657,9.47705665554198e-08,1.19835346458513e-05
"ACSL5",1500.68015404814,3.22549626725267,0.605508550005088,5.32692109339424,9.98915320954943e-08,1.25540510245136e-05
"CDH11",1470.24966607546,3.64827355403822,0.685023273820209,5.32576584397297,1.00528567289025e-07,1.25575412145096e-05
"LGALS3",1463.09751607808,3.44929374211377,0.648248904916747,5.32094033009859,1.03232261100613e-07,1.27690313013414e-05
"SNORA74B",1652.59749960737,-3.29698890511451,0.619672060276325,-5.32053825961479,1.03460687367135e-07,1.27690313013414e-05
"LY75",544.797790330203,4.00295061325344,0.752997967240705,5.3160178212989,1.06062766363783e-07,1.2935264364047e-05
"MOB3C",288.786040097053,-1.9501668014658,0.366841928289144,-5.31609571065355,1.06017399646711e-07,1.2935264364047e-05
"ANKRD30A",19.4199427291497,17.0099452011174,3.20831218887621,5.30183604329213,1.1464378234317e-07,1.38995470463239e-05
"RNA5S10",507.320303105823,-4.99548900724728,0.943828958856629,-5.29279056376794,1.20463853431939e-07,1.45197689069339e-05
"SERTAD4",31.6676547221642,6.07904948273287,1.14921243751679,5.28975260298123,1.2248191735765e-07,1.46771790619682e-05
"NDNF",77.2584016118968,7.40245818273463,1.40155675452123,5.2815971660479,1.28062533438184e-07,1.52572073797365e-05
"MUC5B",39609.2749005528,6.02700943611033,1.14244703372896,5.27552635542159,1.32375584117631e-07,1.56804204841868e-05
"CD9",996.106562319158,3.09244396836135,0.58839708609073,5.25570918256468,1.47455143301931e-07,1.7366845477692e-05
"ECM1",1074.49763572653,4.25678001313112,0.810558671277249,5.25166180311591,1.50733037997305e-07,1.76520377622867e-05
"CST1",796.381322424601,9.75211029322343,1.86119409428485,5.23970623116049,1.60832419299447e-07,1.87283445998921e-05
"CRISP3",395.170764534831,9.76666249954079,1.86439826389695,5.2385065405106,1.61881240284757e-07,1.87445744017366e-05
"FN1",61059.1341591237,4.01338710721755,0.766989939278354,5.2326463512594,1.67100254493818e-07,1.90677499304385e-05
"KRT6A",6644.44353689082,13.1569220948423,2.5145760131988,5.23226262629674,1.67447612314267e-07,1.90677499304385e-05
"OBSL1",2162.09310884872,-2.26525576613666,0.432877251396753,-5.23302104425081,1.66761745010877e-07,1.90677499304385e-05
"KLK7",144.697721295107,9.75733193866701,1.86570101904031,5.22984756887042,1.69649863186688e-07,1.92123809348397e-05
"SLC1A1",905.254306163541,3.67350616049915,0.704676617285076,5.21303825100959,1.85772571285307e-07,2.09232703101719e-05
"SERPINB4",273.648464307249,17.1114161898771,3.28965554700961,5.20158294549465,1.97598247849239e-07,2.21342254696775e-05
"USP9Y",2714.61660775369,12.4424826174906,2.39264260366795,5.2003097321832,1.98956696603108e-07,2.21659268847928e-05
"CAPG",780.894916956245,3.26373085936189,0.628172900022295,5.19559321843723,2.04068046134488e-07,2.26131532197739e-05
"IGKV3-15",719.609120750314,9.55857718957215,1.84058646826298,5.19322365691024,2.06683638776098e-07,2.27805159294875e-05
"CD4",328.170562413181,3.89524053948092,0.750225627862102,5.19209207846056,2.07944110760086e-07,2.27975322706177e-05
"SCD",1325.35353977876,5.22024076917043,1.00601787841797,5.18901391432488,2.1141060092517e-07,2.30549412469242e-05
"DMBT1",18427.5569087442,7.57062415438297,1.45951404636985,5.18708550507811,2.13610670015031e-07,2.31722606298937e-05
"MKI67",2192.51226314521,5.00939466084587,0.966844333643357,5.18118014093229,2.20486424322277e-07,2.36689879776378e-05
"SNORA5A",266.377668632186,-2.81057833118708,0.542362174040472,-5.18210610125874,2.19394344991044e-07,2.36689879776378e-05
"PLCE1",3255.41257146997,-2.2141371555545,0.427570736580735,-5.1784113507413,2.23783368202522e-07,2.38984404249854e-05
"SAXO3",12.7620566310347,-5.57088882718292,1.07674107739994,-5.17384257377385,2.29328065450025e-07,2.43643337989199e-05
"WTAPP1",76.4703089463043,8.84037242074817,1.71222632597684,5.16308637860982,2.42910977247654e-07,2.56750674464174e-05
"FAP",986.312140472391,3.57315204885951,0.693653613485293,5.15120512514316,2.58817916073686e-07,2.7216816674463e-05
"GAL3ST4",40.3791562431851,6.26802295993184,1.21822346225258,5.14521609060283,2.67213042166585e-07,2.79569949852562e-05
"KRT5",2844.35470964175,9.64373494683107,1.87536763618931,5.14231703732866,2.71370671810428e-07,2.81066377722851e-05
"SUSD1",370.919132658945,1.56537137305481,0.304355686577143,5.14323024701575,2.70054312318512e-07,2.81066377722851e-05
"SGIP1",205.108523284709,4.62471633429365,0.89959267732077,5.14090037734334,2.73425009000498e-07,2.81778143025464e-05
"DDX3Y",1315.5542942772,11.3734591148058,2.21353384233939,5.13814557395053,2.77462910431605e-07,2.8451681825402e-05
"CDH15",18.7240244674834,-5.39443838207797,1.05037417110163,-5.13573022880054,2.81050577219754e-07,2.86768982528532e-05
"LCN2",3053.54061487961,6.32954297306078,1.23683878103886,5.11751658348261,3.09584849973513e-07,3.14327750877048e-05
"FOXF2",53.9380917612203,7.19743517754673,1.4071969106012,5.11473207717018,3.14186587004464e-07,3.174362619975e-05
"ITGB6",1747.52198805374,3.86617113676691,0.756479484505908,5.11074155473243,3.20896722678739e-07,3.22634261030804e-05
"CACNB3",223.519122551456,2.47798267050318,0.485530906934252,5.10365588495632,3.33153839079598e-07,3.3333173676066e-05
"GNS",2635.97279183697,1.823418794945,0.357473070428567,5.10085638831184,3.38120055015975e-07,3.36666302122428e-05
"HJURP",80.7503759579902,8.27754084207107,1.62639230335826,5.08951058424168,3.58988823130497e-07,3.55726857381859e-05
"KIF11",167.900469344588,5.40637226917694,1.06777478170237,5.06321404271925,4.12246556263541e-07,4.06178762989585e-05
"SNORA26",286.291891556591,-3.04198341853313,0.600888383893905,-5.06247665967566,4.13844744203643e-07,4.06178762989585e-05
"SCEL",266.407212222238,8.51152878669396,1.68252157930078,5.05879323713113,4.21918045138834e-07,4.12139944471873e-05
"LAMB3",5684.53806128482,4.57578971746347,0.905345782324048,5.05419013022549,4.32220872014997e-07,4.20212471372694e-05
"LEF1",208.541097803235,8.14468349128086,1.61178075116882,5.05322047392274,4.34421929520658e-07,4.20369501847431e-05
"IGHV3-30",468.084408458872,8.60757133189046,1.70388729210533,5.05172576365361,4.37836021509799e-07,4.21693375670022e-05
"SYTL1",492.394418285362,-1.76843348317125,0.350553806811357,-5.0446848638072,4.54269445611283e-07,4.35485932255542e-05
"HROB",26.2136206735421,6.48548834930483,1.28610282237119,5.04274482295864,4.58901045496925e-07,4.37889326330422e-05
"CYB5D1",163.484610043232,-2.86344435537901,0.568801999993558,-5.03416717137323,4.79930724247885e-07,4.55845721542542e-05
"MIR147B",53.6219260101801,7.42886110203013,1.4775958500556,5.02766781711697,4.96480944369666e-07,4.69402235981797e-05
"CDHR2",510.805204546156,6.75968627465733,1.34530050967362,5.02466640430938,5.04308368750916e-07,4.72468172196597e-05
"DDX60",1258.58111577379,2.34363963427437,0.466356040264295,5.02542999753188,5.02305771385281e-07,4.72468172196597e-05
"TRIM31",280.980144585753,8.97314420260984,1.78613237335901,5.02378453940392,5.06630726153838e-07,4.72496194423382e-05
"SNORA3A",486.721508862673,-3.81580183725955,0.761207630659908,-5.01282657131478,5.36362364523499e-07,4.97971382666389e-05
"PADI1",222.657580149005,9.08777226443446,1.81575506182431,5.00495493885826,5.58751001832744e-07,5.1643125106613e-05
"RGS7BP",38.1990504645104,7.0230850816706,1.40353100235593,5.00386886351766,5.61909895124655e-07,5.17032359304208e-05
"SSX2IP",246.414991646481,2.51049988422762,0.501838582496246,5.00260436680633,5.65609428434204e-07,5.1812337464255e-05
"IGKV2-30",314.979999069896,8.45547965893513,1.69096883149508,5.00037582091869,5.7218671247105e-07,5.19789212099562e-05
