"gene_symbol","original_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC102724760","102724760",36.1391606549538,-19.0192154640889,2.60766944771264,-7.29356839332988,3.01851375199655e-13,3.73446748254823e-10
"MUC17","140453",5114.17471311039,-20.390722217147,2.91204503616867,-7.00220015964269,2.51973737976087e-12,2.93401184896273e-09
"TIMD4","91937",27.4323509983833,-18.5099481689922,2.87140417019858,-6.44630538643818,1.14609616879078e-10,1.26038742562297e-07
"ELK2AP","2003",26.4442559220939,-18.0486547877185,2.85760415859279,-6.31600942119514,2.68403693213774e-10,2.79634268798245e-07
"KRT16","3868",1877.76916260321,-16.6753503873141,2.68872882124404,-6.20194578774912,5.57692904302868e-10,5.51976552033764e-07
"IGKV1-37","28931",50.699372433827,-17.6072202706078,3.12461017374439,-5.63501342297306,1.75044702417703e-08,1.65000470683735e-05
"ANKRD30A","91074",19.381540553117,-20.7195221543546,3.70023969034709,-5.59950810981412,2.14960877696996e-08,1.93415935182366e-05
"KDM5D","8284",1730.37943626805,-13.2058941204116,2.48046895335025,-5.32395057901252,1.01537503899769e-07,8.73884734650403e-05
"KLHL14","57565",7.29433098311245,-17.1451080586307,3.37329426690136,-5.08260077600044,3.72301668318133e-07,0.000307071313514893
"RPS4Y1","6192",2847.00624690239,-12.9896900400006,2.5655938497641,-5.06303444763675,4.12635257279891e-07,0.000326724596714218
"IGLV3-9","28804",41.1702315762278,-15.5005671114826,3.07330409746205,-5.04361645314665,4.56814532054862e-07,0.000347793987001
"UGT3A2","167127",6.6327081919077,-16.443854664631,3.36041392433805,-4.89340153769009,9.91079087555456e-07,0.000726607797709639
"USP9Y","8287",2713.26011126458,-13.3534625937903,2.7393610321193,-4.87466326534531,1.08994211812921e-06,0.000770550151013131
"IGKV1-5","28299",1667.33830086029,-9.84401482405066,2.03782202061209,-4.83065484840225,1.36084730737564e-06,0.000928895601706923
"CYP2C18","1562",322.93468167147,-8.43699419803285,1.76625587790661,-4.77676779653948,1.78135272161234e-06,0.00117539590414388
"DDX3Y","8653",1315.02813806926,-11.9818034322563,2.52209824267342,-4.75072827438934,2.02685341943501e-06,0.00129424398186181
"COL22A1","169044",149.037683381901,-7.2345744628026,1.52707335283715,-4.73754220736121,2.16325811383531e-06,0.0012976271019203
"SMIM24","284422",102.908030891549,-8.45101870660959,1.78370172654176,-4.73791025755995,2.15933392972747e-06,0.0012976271019203
"IGLV2-14","28815",1094.53305254287,-8.91790748565392,1.9194382605171,-4.64610280470881,3.38264479037824e-06,0.00196939569486874
"APOC1","341",488.08736655247,-6.20247611207848,1.35608752411315,-4.57380220803578,4.78952009683788e-06,0.00270881572334016
"DES","1674",3328.13990668945,9.65747670127163,2.11835183384275,4.55895784023407,5.1408089132257e-06,0.00282673090103619
"SPMIP1","100130705",5.28228647078158,5.1287600673386,1.13205396665141,4.53049078791653,5.88468208276232e-06,0.00314830491427784
"CDSN","1041",69.3130364078287,-6.7838875426949,1.51250011785886,-4.48521455475876,7.28406009122289e-06,0.0037944202501515
"ZNF534","147658",8.86727114209881,6.56893893927365,1.47316357082143,4.45906963040828,8.23161785996238e-06,0.00417807373174245
"TXLNGY","246126",475.968845986376,-11.9227863537637,2.67760798891146,-4.45277516467625,8.47675036906111e-06,0.00419493183888912
"CRISP3","10321",395.242382353241,-9.34456730830811,2.11360858649261,-4.42114371034743,9.81798464532556e-06,0.00474017087937121
"SPEG","10290",291.823400823473,5.01902235713113,1.14452959762916,4.38522723005835,1.15864765047721e-05,0.00521259778209006
