"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COL22A1",149.004083585162,-7.23492700364131,1.52551219361698,-4.7426215496104,2.10970167920911e-06,0.00128225110848173
"DDX3Y",1315.5542942772,-11.9830367135562,2.52222555320099,-4.75097744464145,2.02435714612928e-06,0.00128225110848173
"SMIM24",102.858679183671,-8.45133246249359,1.78045388417974,-4.74672921190944,2.06732423783623e-06,0.00128225110848173
"IGLV2-14",1093.5914901422,-8.91932011324126,1.91500943675573,-4.65758546252999,3.19939621763009e-06,0.00188736146873549
"APOC1",487.856080363278,-6.20443306767486,1.35498003809615,-4.57898485087098,4.67238033321298e-06,0.00267754092409294
"DES",3324.94584931217,9.65534732870157,2.11826281902834,4.55814417454136,5.16076073414356e-06,0.00287526050124215
"SPMIP1",5.28259210877277,5.1298549250987,1.13536296255066,4.51825107415359,6.23525210528918e-06,0.00338001220204824
"CDSN",69.2952600651493,-6.78461703821599,1.51166127567523,-4.48818604232976,7.18321867443087e-06,0.00379141623560684
"ZNF534",8.86977087822499,6.56814530306176,1.47034328670408,4.46708286592373,7.92934212270855e-06,0.00407791833218373
"TXLNGY",476.3448193969,-11.9243597572551,2.67781943511147,-4.45301113320164,8.46743622882245e-06,0.0042457842110373
"CRISP3",395.170764534831,-9.34676312367482,2.10750049887234,-4.43499924610978,9.20726110746799e-06,0.00450414722030452
"CYP2C19",269.435236277682,-9.05340445450395,2.05780946661652,-4.39953484585221,1.08483157644846e-05,0.00506010858809923
"SLC5A1",1075.40298551466,-5.44144203064866,1.23668851315097,-4.40001016649243,1.08245806718595e-05,0.00506010858809923
"SPEG",291.942751955388,5.01816180459353,1.14323798585801,4.38942885616888,1.13648750390759e-05,0.00518057496951695
"POTEF",237.537078122285,7.01972617160191,1.60166023817576,4.38278106947148,1.17173848263861e-05,0.00522256861028504
"CYP2C9",249.010617718793,-8.70009362292807,1.9915719649298,-4.36845555979432,1.2512827185621e-05,0.00533978244387235
"MYH1",48.9086900425677,-7.07666724177327,1.61903904734124,-4.37090584899386,1.23732140806832e-05,0.00533978244387235
"BNIP5",192.052720838648,-6.69705383435716,1.54811291462408,-4.32594662255846,1.51878200312088e-05,0.00625529303757322
"POTEE",117.993649929479,5.25993876668903,1.2162874684107,4.32458518508138,1.52819144857699e-05,0.00625529303757322
"IGKJ4",420.950990975773,-7.88655857787261,1.83101147482028,-4.30721417442058,1.65323517196109e-05,0.00663178756880472
"IGHV7-4-1",50.1230276496073,-17.6314239802066,4.11805473173746,-4.28149335760956,1.85643265868219e-05,0.00702537166701675
"MYH11",28026.4104893994,5.96792088915717,1.3919083445313,4.28758180278514,1.80628747234299e-05,0.00702537166701675
"TREH",82.9758526494699,-2.50036564574086,0.583669537316141,-4.2838720986505,1.83668521796003e-05,0.00702537166701675
"G0S2",120.634790358313,4.52720969831536,1.05900192486604,4.27497778050595,1.91156357836262e-05,0.00710004272059612
